"pointNum","accumDst","foo","elevation-n-vancouver","elevation-s-vancouver","value"
68,544,,-2147483648,53,53
69,552,,-2147483648,53,53
70,560,,-2147483648,53,53
71,568,,-2147483648,53,53
72,576,,-2147483648,53,53
73,584,,-2147483648,54,54
74,592,,-2147483648,54,54
75,600,,-2147483648,55,55
76,608,,-2147483648,55,55
77,616,,-2147483648,55,55
78,624,,-2147483648,52,52
79,632,,-2147483648,52,52
80,640,,-2147483648,50,50
81,648,,-2147483648,50,50
82,656,,-2147483648,50,50
83,664,,-2147483648,52,52
84,672,,-2147483648,52,52
85,680,,-2147483648,51,51
86,688,,-2147483648,51,51
87,696,,-2147483648,51,51
88,704,,-2147483648,52,52
89,712,,-2147483648,52,52
90,720,,-2147483648,52,52
91,728,,-2147483648,52,52
92,736,,-2147483648,52,52
93,744,,-2147483648,52,52
94,752,,-2147483648,52,52
95,760,,-2147483648,51,51
96,768,,-2147483648,51,51
97,776,,-2147483648,51,51
98,784,,-2147483648,51,51
99,792,,-2147483648,51,51
100,800,,-2147483648,52,52
101,808,,-2147483648,52,52
102,816,,-2147483648,51,51
103,824,,-2147483648,51,51
104,832,,-2147483648,51,51
105,840,,-2147483648,51,51
106,848,,-2147483648,51,51
107,856,,-2147483648,51,51
108,864,,-2147483648,51,51
109,872,,-2147483648,51,51
110,880,,-2147483648,52,52
111,888,,-2147483648,52,52
112,896,,-2147483648,52,52
113,904,,-2147483648,55,55
114,912,,-2147483648,55,55
115,920,,-2147483648,54,54
116,928,,-2147483648,54,54
117,936,,-2147483648,54,54
118,944,,-2147483648,55,55
119,952,,-2147483648,55,55
120,960,,-2147483648,55,55
121,968,,-2147483648,55,55
122,976,,-2147483648,55,55
123,984,,-2147483648,55,55
124,992,,-2147483648,55,55
125,1000,,-2147483648,57,57
126,1008,,-2147483648,57,57
127,1016,,-2147483648,61,61
128,1024,,-2147483648,61,61
129,1032,,-2147483648,61,61
130,1040,,-2147483648,62,62
131,1048,,-2147483648,62,62
132,1056,,-2147483648,64,64
133,1064,,-2147483648,64,64
134,1072,,-2147483648,64,64
135,1080,,-2147483648,64,64
136,1088,,-2147483648,64,64
137,1096,,-2147483648,64,64
138,1104,,-2147483648,64,64
139,1112,,-2147483648,64,64
140,1120,,-2147483648,65,65
141,1128,,-2147483648,65,65
142,1136,,-2147483648,66,66
143,1144,,-2147483648,66,66
144,1152,,-2147483648,66,66
145,1160,,-2147483648,66,66
146,1168,,-2147483648,66,66
147,1176,,-2147483648,68,68
148,1184,,-2147483648,68,68
149,1192,,-2147483648,67,67
150,1200,,-2147483648,67,67
151,1208,,-2147483648,67,67
152,1216,,-2147483648,67,67
153,1224,,-2147483648,67,67
154,1232,,-2147483648,69,69
155,1240,,-2147483648,69,69
156,1248,,-2147483648,69,69
157,1256,,-2147483648,69,69
158,1264,,-2147483648,69,69
159,1272,,-2147483648,70,70
160,1280,,-2147483648,70,70
161,1288,,-2147483648,70,70
162,1296,,-2147483648,70,70
163,1304,,-2147483648,70,70
164,1312,,-2147483648,70,70
165,1320,,-2147483648,70,70
166,1328,,-2147483648,70,70
167,1336,,-2147483648,70,70
168,1344,,-2147483648,70,70
169,1352,,-2147483648,71,71
170,1360,,-2147483648,71,71
171,1368,,-2147483648,71,71
172,1376,,-2147483648,72,72
173,1384,,-2147483648,72,72
174,1392,,-2147483648,72,72
175,1400,,-2147483648,72,72
176,1408,,-2147483648,76,76
177,1416,,-2147483648,74,74
178,1424,,-2147483648,74,74
179,1432,,-2147483648,73,73
180,1440,,-2147483648,73,73
181,1448,,-2147483648,76,76
182,1456,,-2147483648,76,76
183,1464,,-2147483648,76,76
184,1472,,-2147483648,76,76
185,1480,,-2147483648,76,76
186,1488,,-2147483648,74,74
187,1496,,-2147483648,74,74
188,1504,,-2147483648,74,74
189,1512,,-2147483648,74,74
190,1520,,-2147483648,74,74
191,1528,,-2147483648,75,75
192,1536,,-2147483648,75,75
193,1544,,-2147483648,75,75
194,1552,,-2147483648,75,75
195,1560,,-2147483648,75,75
196,1568,,-2147483648,76,76
197,1576,,-2147483648,76,76
198,1584,,-2147483648,76,76
199,1592,,-2147483648,77,77
200,1600,,-2147483648,77,77
