"pointNum","accumDst","temp","elevation-n-vancouver","elevation-s-vancouver","value"
518,4144,,0,65,65
519,4152,,0,66,66
520,4160,,0,66,66
521,4168,,0,66,66
522,4176,,0,65,65
523,4184,,0,65,65
524,4192,,0,65,65
525,4200,,0,65,65
526,4208,,0,65,65
527,4216,,0,65,65
528,4224,,0,65,65
529,4232,,0,64,64
530,4240,,0,64,64
531,4248,,0,64,64
532,4256,,0,64,64
533,4264,,0,64,64
534,4272,,0,64,64
535,4280,,0,64,64
536,4288,,0,64,64
537,4296,,0,63,63
538,4304,,0,63,63
539,4312,,0,62,62
540,4320,,0,62,62
541,4328,,0,62,62
542,4336,,0,62,62
543,4344,,0,62,62
544,4352,,0,62,62
545,4360,,0,62,62
546,4368,,0,62,62
547,4376,,0,62,62
548,4384,,0,62,62
549,4392,,0,63,63
550,4400,,0,63,63
551,4408,,0,61,61
552,4416,,0,61,61
553,4424,,0,61,61
554,4432,,0,60,60
555,4440,,0,60,60
556,4448,,0,60,60
557,4456,,0,60,60
558,4464,,0,60,60
559,4472,,0,60,60
560,4480,,0,59,59
561,4488,,0,59,59
562,4496,,0,60,60
563,4504,,0,60,60
564,4512,,0,60,60
565,4520,,0,58,58
566,4528,,0,58,58
567,4536,,0,58,58
568,4544,,0,57,57
569,4552,,0,57,57
570,4560,,0,57,57
571,4568,,0,56,56
572,4576,,56,56,56
573,4584,,56,56,56
574,4592,,55,55,55
575,4600,,55,55,55
576,4608,,55,55,55
577,4616,,55,0,55
578,4624,,55,0,55
579,4632,,55,0,55
580,4640,,55,0,55
581,4648,,54,0,54
582,4656,,54,0,54
583,4664,,54,0,54
584,4672,,54,0,54
585,4680,,54,0,54
586,4688,,53,0,53
587,4696,,53,0,53
588,4704,,53,0,53
589,4712,,54,0,54
590,4720,,54,0,54
591,4728,,54,0,54
592,4736,,55,0,55
593,4744,,54,0,54
594,4752,,54,0,54
595,4760,,55,0,55
596,4768,,55,0,55
597,4776,,55,0,55
598,4784,,56,0,56
599,4792,,56,0,56
600,4800,,56,0,56
601,4808,,56,0,56
602,4816,,56,0,56
603,4819.71754,,56,0,56
